baseline,label,final_equity,total_return,cagr,sharpe,sortino,max_drawdown,calmar,n_trades,total_costs,time_in_market,bars
cash,BTC-USD 2015-2026,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4073.0
buy_and_hold,BTC-USD 2015-2026,27554.498835264178,274.5449883526418,0.6547424932002683,1.0909586340205157,1.4727906985632038,-0.8380392209977335,0.7812790580621752,1.0,0.14999999999999888,0.999754480726737,4073.0
sma_50_200,BTC-USD 2015-2026,12334.973784309468,122.34973784309469,0.5397223020997097,1.066831511375968,1.1005536430243268,-0.7239152349089945,0.7455600822761519,19.0,208.3975790364981,0.5813896390866683,4073.0
price_above_sma_200,BTC-USD 2015-2026,15427.512727821111,153.2751272782111,0.5709099087047862,1.1366592150673551,1.2170142342679682,-0.7087617230058345,0.8055033026947005,71.0,841.5235187366109,0.582617235452983,4073.0
momentum_12m,BTC-USD 2015-2026,23614.360173282985,235.14360173282984,0.6320118474943992,1.1554108642374847,1.3822564044654078,-0.7139895325121581,0.8851836318533661,44.0,398.01084840363455,0.683771176037319,4073.0
