rebalance_every,rebalances_per_year,final_equity,gross_final_equity,net_return,gross_return,cagr,sharpe,max_drawdown,n_trades,trades_per_day,turnover_per_year,cost_drag_pct_capital,fees_paid,financing_paid,oos_years,bars,evaluations,target_hit,seconds
1,252.0,197.92785173174732,290.86462213191686,0.9792785173174732,1.9086462213191684,0.10418368474941464,0.4953975682876656,-0.4258413713413177,24068.0,13.856073690270582,29.74143287116812,0.44726933663809154,35.784183516286674,8.942750147522483,6.892857142857143,1737.0,672,0.0,121.05187916755676
2,126.0,230.24659581606545,328.09641072412484,1.3024659581606546,2.2809641072412483,0.12869456776297716,0.5724290371349516,-0.40941232224074453,15497.0,8.921704087507196,26.185034352486085,0.4457983857554605,34.51894449292405,10.060894082621996,6.892857142857143,1737.0,672,0.0,132.53804898262024
3,84.0,236.44745930186508,334.3379499830456,1.3644745930186506,2.343379499830456,0.1330571202445172,0.576490921481417,-0.41004415094909186,11961.0,6.8860103626943,23.370758060844583,0.42042066302840325,31.507390816559948,10.534675486280381,6.892857142857143,1737.0,672,0.0,125.51049256324768
5,50.4,288.8334234575178,390.62665332546277,1.8883342345751783,2.9062665332546276,0.16645550724657232,0.6762466028588334,-0.3773197679433583,11203.0,6.449625791594704,19.43781127053688,0.44750011313914184,31.557305321102596,13.192705992811586,6.892857142857143,1737.0,672,0.0,125.12463212013245
10,25.2,293.8995317463664,369.5981950374345,1.938995317463664,2.6959819503743447,0.16940340915796948,0.6736267450436406,-0.38293159284755107,6976.0,4.016119746689695,14.401380979579141,0.36718097179741344,24.21492740987947,12.503169769861874,6.892857142857143,1737.0,672,0.0,123.08886408805847
21,12.0,188.2483960686037,232.5198029091319,0.8824839606860371,1.325198029091319,0.09617614763473492,0.46502409677010265,-0.42621290264851974,4304.0,2.4778353483016695,10.98218373834577,0.23654712949629114,13.121040090586634,10.533672859042479,6.892857142857143,1737.0,672,0.0,118.31269574165344
63,4.0,145.20467726647178,171.71021688922193,0.4520467726647177,0.7171021688922192,0.055633864294174495,0.33270372746401605,-0.5420249295556419,4291.0,2.4703511801957396,8.21456192751521,0.18019350652196656,8.77439295014705,9.244957702049607,6.892857142857143,1737.0,672,0.0,118.19385099411011
