seed,strategy_sharpe,buyhold_sharpe,forty_sharpe,edge_vs_bh,edge_vs_40
1000,0.7786165714242519,1.5110334439181687,1.4660967320767615,-0.7324168724939168,-0.6874801606525096
1001,1.39442858542188,1.840724687521658,1.8111094374132903,-0.446296102099778,-0.41668085199141025
1002,1.326831589278847,1.7838691810574998,1.7482788589691989,-0.4570375917786529,-0.42144726969035196
1003,1.3209993080145839,1.5948684044837484,1.5778939898572564,-0.2738690964691646,-0.2568946818426725
1004,1.1819389044738418,1.2853841176914989,1.2752406398524354,-0.1034452132176571,-0.09330173537859365
1005,0.948277375306261,1.5901741557494957,1.6282817930603612,-0.6418967804432347,-0.6800044177541003
1006,1.1580419800674464,1.830984116072091,1.8290700894430476,-0.6729421360046446,-0.6710281093756012
1007,0.7408098674427455,1.3718357070204688,1.327236291447817,-0.6310258395777233,-0.5864264240050716
1008,1.1331942530518635,1.9387986494687317,1.96308870107316,-0.8056043964168682,-0.8298944480212964
1009,-0.02081900856952075,1.108083058741186,1.1218323592843882,-1.1289020673107069,-1.142651367853909
1010,1.2027894715830683,1.8535373195586153,1.8511570898522614,-0.6507478479755471,-0.6483676182691931
1011,1.608961430027778,2.169805787376687,2.153787755372995,-0.5608443573489093,-0.5448263253452172
1012,0.8441085985450328,1.3129594560865812,1.3109979360459663,-0.4688508575415483,-0.4668893375009334
1013,0.7677425770050448,0.9680650688949748,0.9034604211315468,-0.20032249188993,-0.135717844126502
1014,1.2958218726481547,1.5283471706066036,1.5037931361148327,-0.2325252979584489,-0.20797126346667794
1015,0.6036482352207219,1.842595093645132,1.8399545667918022,-1.23894685842441,-1.2363063315710803
1016,1.7889903338971724,1.964119839742254,1.9414546867064275,-0.17512950584508147,-0.15246435280925508
1017,0.9453119455602149,1.2325038688291559,1.1917461141425307,-0.28719192326894094,-0.24643416858231582
1018,1.0251099103313943,1.1813963688966835,1.1594166528419196,-0.15628645856528922,-0.13430674251052532
1019,0.9059177879131883,1.2462359367135416,1.2225557071966417,-0.34031814880035327,-0.3166379192834534
