bps_per_side,final_equity,cagr,sharpe,max_drawdown,costs,vs_40pct_baseline
0,2446.6832124228877,0.41941734136609665,0.9810602027541684,-0.5230269306848002,0.0,1785.7882124228877
2,2376.0196644870084,0.41486780590107064,0.9741382870516034,-0.5263679316832031,34.09258621046945,1715.1246644870084
4,2263.7803358320098,0.40738759740556896,0.9609489294602167,-0.5169556967827391,64.85024937926288,1602.8853358320098
8,2135.7891209701193,0.3984434188796071,0.9472548416571289,-0.5234538478439261,124.38039958917338,1474.8941209701193
15,1929.4076428575127,0.38296201416961173,0.9233309369699061,-0.5344893791977496,216.77652286783484,1268.5126428575127
25,1748.6760797398445,0.368141852170377,0.9003287730392,-0.5445319876337691,340.8978449632835,1087.7810797398445
35,1460.2329653539541,0.3413905652196403,0.85867012882599,-0.559677996642153,445.62720300070185,799.3379653539541
50,1127.995654061157,0.3039885341452335,0.7985890161040776,-0.5814790435866483,549.0615197754232,467.100654061157
75,924.9860481170801,0.275951409820852,0.7499143478393725,-0.6258883204344832,648.6848376080559,264.09104811708016
100,603.8300574968241,0.21771142404689092,0.6497375290885503,-0.6894390792440087,635.4795406517001,-57.06494250317587
150,294.0540795202126,0.12541656876820406,0.4805903317243125,-0.7068497732162204,671.1611938085503,-366.84092047978737
