interval,every,intended_trades_day,actual_trades_day,oos_years,final_equity,gross_final_equity,net_return,gross_return,cost_drag_pct_capital,cost_drag_pct_of_gross_profit,fees_paid,financing_paid,cagr,gross_cagr,sharpe,gross_sharpe,max_drawdown,calmar,n_trades,turnover_per_year,target_hit,years_to_target,evaluations,seconds,seed,symbol,bars,sortino,time_in_market,avg_gross_exposure,dsr_cell,dsr_sweep
1d,1,1.0,0.28781512605042014,9.128767123287671,1163.3845459595523,1452.319347724786,10.633845459595523,13.52319347724786,1.4428723316481626,0.10669612426056965,118.60632590095281,25.680907263863435,0.3085142158220311,0.3407102724373259,0.9509097401645336,1.0215690967417257,-0.488270402633342,0.6318511508339456,959.0,13.03686356666787,1.0,3.5397260273972604,1216,50.368144512176514,0,BTC-USD,3332.0,1.149051554930737,0.7358943577430972,0.3835974238167973,0.32433038668352454,0.14181791230858187
6h,1,4.0,0.8351846292404684,9.126027397260273,885.8178590376007,1308.522308566305,7.858178590376006,12.08522308566305,2.298793119662722,0.19021519945211668,208.53156763983017,21.347744326442,0.2700320233660136,0.32550808235079653,0.892429356563026,1.0232955634891505,-0.48244780344534566,0.5597124112445137,2782.0,25.313491621902642,1.0,3.5623287671232875,1216,179.08496141433716,0,BTC-USD,13324.0,0.925796261220724,0.7566046232362654,0.4018329218563986,0.26402681234522085,0.10609904734687414
6h,2,2.0,0.5977184028820175,9.126027397260273,788.6438861917817,1096.6747406793952,6.886438861917817,9.966747406793951,1.9106879285915275,0.19170626590667728,178.9525600951844,12.11623276396836,0.2539627442487127,0.3001002913443751,0.8707967953104895,0.9851045913636491,-0.512937689984421,0.49511421992879107,1991.0,23.900380200952103,1.0,6.6,1216,177.53830289840698,0,BTC-USD,13324.0,0.8673320748020874,0.6975382767937556,0.36658217214400723,0.24311988709860016,0.09461405991442018
6h,4,1.0,0.4175923146202342,9.126027397260273,925.9448726990539,1258.7127648177109,8.25944872699054,11.587127648177109,1.8952540805303248,0.16356547869984733,180.70856975891365,8.816838294118826,0.27621299445844105,0.31988283709699816,0.9492891416360171,1.0600945020664578,-0.541676210870576,0.5099226972041371,1391.0,21.74059355417366,1.0,4.281506849315068,1216,175.9156973361969,0,BTC-USD,13324.0,0.9549838491984896,0.699189432602822,0.35524797021421134,0.32301235001546125,0.14099588669114027
6h,20,0.2,0.15550885619933955,9.126027397260273,722.8122587940106,875.5585319399387,6.228122587940106,7.755585319399387,0.942220453597633,0.12148927705570017,82.269578314674,11.952467045089298,0.24204190564235883,0.26841174388126987,0.859104953133252,0.9277749870477444,-0.5338603463767029,0.45338056532029647,518.0,12.465780874235868,0.0,,1216,176.37291502952576,0,BTC-USD,13324.0,0.8799889992839188,0.721404983488442,0.35616833115579083,0.23220415336214367,0.08880164382856726
1h,1,24.0,2.740265104577372,9.120205479452055,643.2171376740395,1478.2509460381534,5.432171376740395,13.782509460381535,4.142067693015989,0.3005307346185799,400.17579642725383,14.030972874345132,0.22640754865289536,0.34357085945471955,0.8902831344726402,1.2281078987315375,-0.4884384322308867,0.46353344395690727,9122.0,54.65370544034316,0.0,,1216,1058.3490936756134,0,BTC-USD,79893.0,0.8946876375654113,0.7161328276569913,0.3532409503665503,0.26175947406277056,0.10483116122744673
1h,2,12.0,2.3287146558522025,9.120205479452055,777.5393891107252,1814.3085159138282,6.775393891107252,17.14308515913828,4.92281208418494,0.2871602187404867,473.0998480875959,19.181360330898137,0.25217766122173924,0.3740900354475838,0.9350518496004379,1.2627874961936445,-0.5562953071430845,0.4533161757499362,7752.0,55.259314623120304,1.0,3.4275114155251143,1216,1047.1530361175537,0,BTC-USD,79893.0,0.9495599348813174,0.7361721302241748,0.3679305448114968,0.30757323482766274,0.13150503996524515
1h,3,8.0,1.9267770643235327,9.120205479452055,969.7125359038439,2146.6872050583106,8.69712535903844,20.466872050583106,5.221010299072455,0.25509566318531357,500.81268051037284,21.288349396872714,0.28287238679634985,0.39967051798641706,1.0155979707827865,1.3212982646151445,-0.5019660054467031,0.5635289715378629,6414.0,50.64660027191422,1.0,3.427853881278539,1216,1050.3639495372772,0,BTC-USD,79893.0,1.0298190294294904,0.7344072697232549,0.3692062519100744,0.39761875325519896,0.1904933903857925
1h,6,4.0,1.4587510795689234,9.120205479452055,1095.8675761894158,2444.929255800029,9.958675761894158,23.449292558000288,6.579555285103817,0.2805865153001831,632.5105260504854,25.445002459896322,0.30019179036746957,0.4197787032283462,1.0446779500707506,1.346322116819628,-0.5358916251023562,0.560172572784903,4856.0,52.834511002974786,1.0,3.382420091324201,1216,955.3570222854614,0,BTC-USD,79893.0,1.0534116328053065,0.7243062596222447,0.37251479933614695,0.43183533647115835,0.21527012885802316
1h,12,2.0,0.9940295144756112,9.120205479452055,808.2175958386457,1619.7647271762987,7.082175958386458,15.197647271762989,4.549210005372592,0.29933646465298347,439.3178420495161,15.603158487743114,0.2575020036614928,0.3571067670483312,0.9534290871259378,1.2240343662418713,-0.4891270238308556,0.5264522120342695,3309.0,44.92413415760754,1.0,3.427054794520548,1216,950.7393369674683,0,BTC-USD,79893.0,0.9580942153300664,0.7356464270962412,0.35913202839231995,0.3273484405362956,0.14370720150075855
1h,24,1.0,0.6302429499455522,9.120205479452055,1078.7949732733277,1991.3252655247088,9.787949732733278,18.91325265524709,5.294494234349377,0.279935679539528,496.3025972492386,33.146826185699126,0.2979552269641914,0.38818829012225264,1.019583586871403,1.2441316515374785,-0.5294675099809519,0.5627450624400175,2098.0,38.308325470034,1.0,3.380593607305936,1216,963.7271864414215,0,BTC-USD,79893.0,1.0355189922758745,0.7605797754496639,0.3749609086484847,0.40226829372345596,0.19378178434043758
