symbol,tier,bars,start,end,final_equity,cagr,sharpe,sortino,max_drawdown,n_trades,time_in_market,total_costs,bl_buy_and_hold,bl_buy_and_hold_sharpe,bl_price_above_sma_200,bl_price_above_sma_200_sharpe,bl_momentum_12m,bl_momentum_12m_sharpe,excess_vs_buy_hold,beats_buy_hold,beats_sma_200,max_leverage
BTC-USD,trained,4073.0,2015-07-20,2026-09-12,53214.632430121565,0.7553026110622845,1.3389498088255567,1.4690923699783998,-0.5344893791977401,749.0,0.5669040019641541,5996.361000665846,27554.498835264178,1.0909586340205157,15427.512727821111,1.1366592150673551,23614.360173282985,1.1554108642374847,25660.133594857387,True,True,2.0
ETH-USD,validation,3758.0,2016-06-01,2026-09-14,22770.369410779862,0.6944282265677988,1.273810045827178,1.398313343651648,-0.5172310641995315,634.0,0.5223523150612027,1466.1499828517904,18027.727194152227,1.0071348504138513,78144.1198929242,1.2625714051591463,17094.91967119258,1.0428975631566375,4742.642216627635,True,False,2.0
DIA,unseen,2513.0,2016-09-14,2026-09-14,95.07619290031104,-0.005052431964761239,0.07215495081125939,0.07366545883677414,-0.4826228777004977,302.0,0.6888181456426582,28.86278767779427,285.967426208981,0.6926168861274181,148.0614418543754,0.4020288415467756,136.50521602417635,0.3123632720071381,-190.89123330866997,False,False,2.0
IWM,unseen,2513.0,2016-09-14,2026-09-14,92.65831246145447,-0.007620253278907363,0.09966247232424699,0.11017052116271918,-0.5773958175697751,372.0,0.6072423398328691,28.34708181592573,238.24014359493015,0.4933987605293451,143.0088733980665,0.32014410604506394,152.09340849798372,0.36363546187344525,-145.58183113347567,False,False,2.0
QQQ,unseen,2513.0,2016-09-14,2026-09-14,411.5517346804322,0.15249253287401454,0.6418453116040254,0.6902689820951876,-0.32210345471024393,303.0,0.7182650218861918,60.31934418432594,611.6094168817235,0.9183588561202082,415.76059693039866,0.9448525116778443,309.17604567733594,0.6898055330362902,-200.0576822012913,False,False,2.0
SPY,unseen,2513.0,2016-09-14,2026-09-14,200.88976046304975,0.0724875601276238,0.43429142850540636,0.45101236081674073,-0.47314162087635414,232.0,0.7437325905292479,28.269333716528436,351.5013554980908,0.7960855740903413,197.98894100248577,0.6404029421985815,208.50399209039645,0.6136422317728458,-150.61159503504103,False,True,2.0
BTC-USD,trained,4073.0,2015-07-20,2026-09-12,12165.887270696956,0.537818493100924,1.2558098754646274,1.334048322718971,-0.4861440809221591,560.0,0.572550945249202,781.0517414913818,27554.498835264178,1.0909586340205157,15427.512727821111,1.1366592150673551,23614.360173282985,1.1554108642374847,-15388.611564567222,False,False,1.0
ETH-USD,validation,3758.0,2016-06-01,2026-09-14,13441.23747598465,0.6098377016960084,1.2474160344572132,1.3500238405639138,-0.48247313844391726,543.0,0.5223523150612027,758.4824371760333,18027.727194152227,1.0071348504138513,78144.1198929242,1.2625714051591463,17094.91967119258,1.0428975631566375,-4586.489718167577,False,False,1.0
DIA,unseen,2513.0,2016-09-14,2026-09-14,133.1205819683799,0.029115428740830174,0.32763113924631315,0.340381611407915,-0.23418773877031474,214.0,0.6975726223637088,16.906196094520062,285.967426208981,0.6926168861274181,148.0614418543754,0.4020288415467756,136.50521602417635,0.3123632720071381,-152.84684424060111,False,False,1.0
IWM,unseen,2513.0,2016-09-14,2026-09-14,119.83353776801808,0.018316692882963004,0.1995754357883764,0.22256099382816974,-0.3764874572118996,245.0,0.6128133704735376,15.295482561923437,238.24014359493015,0.4933987605293451,143.0088733980665,0.32014410604506394,152.09340849798372,0.36363546187344525,-118.40660582691207,False,False,1.0
QQQ,unseen,2513.0,2016-09-14,2026-09-14,298.1432424640133,0.11581857748190183,0.7909236156711835,0.8638107540128246,-0.18669197440527163,157.0,0.7182650218861918,20.66403430203339,611.6094168817235,0.9183588561202082,415.76059693039866,0.9448525116778443,309.17604567733594,0.6898055330362902,-313.4661744177102,False,False,1.0
SPY,unseen,2513.0,2016-09-14,2026-09-14,205.08376268245038,0.07471291737969299,0.7051234207946367,0.7483865936419665,-0.26112051883247034,141.0,0.7437325905292479,13.260576902159636,351.5013554980908,0.7960855740903413,197.98894100248577,0.6404029421985815,208.50399209039645,0.6136422317728458,-146.4175928156404,False,True,1.0
