timestamp,w,fwd,regime,trail12m,trail90,strength_rank
2017-07-29 00:00:00+00:00,0.3042109905005044,0.008806722440106496,warmup,,,
2017-07-30 00:00:00+00:00,0.30148604976523796,0.04878505427699831,warmup,,,
2017-07-31 00:00:00+00:00,0.30019711896311796,-0.04350550250623053,warmup,,,
2017-08-01 00:00:00+00:00,0.30739335046254823,-0.011963009452570672,warmup,,,
2017-08-02 00:00:00+00:00,0.3248803220091929,0.03226786177265817,warmup,,,
2017-08-03 00:00:00+00:00,0.37818970520832473,0.025231250583060083,warmup,,,
2017-08-04 00:00:00+00:00,0.40932359070034063,0.13514317512091645,warmup,,,
2017-08-05 00:00:00+00:00,0.3874232687726575,-0.006557751064439787,warmup,,,
2017-08-06 00:00:00+00:00,0.3880449179204721,0.054623830775055726,warmup,,,
2017-08-07 00:00:00+00:00,0.37240999221630344,0.00712135435211847,warmup,,,
2017-08-08 00:00:00+00:00,0.36497171165214565,-0.02326709384852277,warmup,,,
2017-08-09 00:00:00+00:00,0.36631283183531904,0.030567189182721055,warmup,,,
2017-08-10 00:00:00+00:00,0.3623657904476291,0.06129788852184914,warmup,,,
2017-08-11 00:00:00+00:00,0.3483871242451189,0.059584535645419434,warmup,,,
2017-08-12 00:00:00+00:00,0.3236469934613053,0.048133711925658185,warmup,,,
2017-08-13 00:00:00+00:00,0.3570907957278287,0.06406401229414338,warmup,,,
2017-08-14 00:00:00+00:00,0.4024671890055226,-0.0371869647734111,warmup,,,
2017-08-15 00:00:00+00:00,0.40642824172280473,0.050500849773914336,warmup,,,
2017-08-16 00:00:00+00:00,0.43833505177265153,-0.020594918547097163,warmup,,,
2017-08-17 00:00:00+00:00,0.43954785508052724,-0.04165644472793284,warmup,,,
2017-08-18 00:00:00+00:00,0.4349899993644904,0.0135772310152813,warmup,,,
2017-08-19 00:00:00+00:00,0.576905435961675,-0.025597667778737287,warmup,,,
2017-08-20 00:00:00+00:00,0.6093317785898993,-0.012093340146482667,warmup,,,
2017-08-21 00:00:00+00:00,0.6147158182550685,0.022488755622188883,warmup,,,
2017-08-22 00:00:00+00:00,0.6208145331884101,0.012583088954056576,warmup,,,
2017-08-23 00:00:00+00:00,0.6212934734738025,0.04067585537795426,warmup,,,
2017-08-24 00:00:00+00:00,0.670579318156735,0.011124690690927475,warmup,,,
2017-08-25 00:00:00+00:00,0.6855700553126503,-0.0035963302752294313,warmup,,,
2017-08-26 00:00:00+00:00,0.6989252309773797,-0.0009690814672952408,warmup,,,
2017-08-27 00:00:00+00:00,0.707327646988533,0.01034075173209903,warmup,,,
2017-08-28 00:00:00+00:00,0.7255035159725923,0.04880512840394169,warmup,,,
2017-08-29 00:00:00+00:00,0.7194858804874715,-0.0037008045227224784,warmup,,,
2017-08-30 00:00:00+00:00,0.7247420528562852,0.03534716432633922,warmup,,,
2017-08-31 00:00:00+00:00,0.7579252817955366,0.043012769976011445,warmup,,,
2017-09-01 00:00:00+00:00,0.7660765635055713,-0.06022647580128493,warmup,,,
2017-09-02 00:00:00+00:00,0.7105557788414161,-0.005148398168598134,warmup,,,
2017-09-03 00:00:00+00:00,0.7038380838353414,-0.027626160547335243,warmup,,,
2017-09-04 00:00:00+00:00,0.81056170910118,-0.014614572333685238,warmup,,,
2017-09-05 00:00:00+00:00,0.802163647858338,0.04143701875461092,warmup,,,
2017-09-06 00:00:00+00:00,0.8077952779474042,0.001733034673691236,warmup,,,
2017-09-07 00:00:00+00:00,0.8083017772055225,-0.059292674593117156,warmup,,,
2017-09-08 00:00:00+00:00,0.7627624556425423,-0.0035954022988506917,warmup,,,
2017-09-09 00:00:00+00:00,0.7714530712074888,-0.019149309240579893,warmup,,,
2017-09-10 00:00:00+00:00,0.772431434650058,-0.009559293967106863,warmup,,,
2017-09-11 00:00:00+00:00,0.8029454456094427,-0.010971995288216685,warmup,,,
2017-09-12 00:00:00+00:00,0.83045645411355,-0.0742462516688599,warmup,,,
2017-09-13 00:00:00+00:00,0.6149946008078764,-0.1569052633763216,warmup,,,
2017-09-14 00:00:00+00:00,0.4229840585599075,0.1506337681516121,warmup,,,
2017-09-15 00:00:00+00:00,0.35786599663195984,-0.003612280148234448,warmup,,,
2017-09-16 00:00:00+00:00,0.3488477074519914,-0.0017549932778928579,warmup,,,
2017-09-17 00:00:00+00:00,0.34460950657666756,0.10215942601687655,warmup,,,
2017-09-18 00:00:00+00:00,0.3061976021030869,-0.046314634146341405,warmup,,,
2017-09-19 00:00:00+00:00,0.2968606485402786,-0.009731184033185847,warmup,,,
2017-09-20 00:00:00+00:00,0.29067204904336325,-0.06575053072524706,warmup,,,
2017-09-21 00:00:00+00:00,0.2746761585277516,0.00042571189256590536,warmup,,,
2017-09-22 00:00:00+00:00,0.26971668221112893,0.046509957142975455,warmup,,,
2017-09-23 00:00:00+00:00,0.26891875613317373,-0.031241006196977783,warmup,,,
2017-09-24 00:00:00+00:00,0.26823674262137337,0.06834813750848312,warmup,,,
2017-09-25 00:00:00+00:00,0.2610513945756503,-0.00884998647883306,warmup,,,
2017-09-26 00:00:00+00:00,0.2610214517218413,0.08105603731187694,warmup,,,
2017-09-27 00:00:00+00:00,0.2527200625783602,-0.002519047619047643,warmup,,,
2017-09-28 00:00:00+00:00,0.2559006021814661,-0.007740928338529018,warmup,,,
2017-09-29 00:00:00+00:00,0.25587352914974554,0.04378408415704649,warmup,,,
2017-09-30 00:00:00+00:00,0.2586994025923809,0.012862410693708304,warmup,,,
2017-10-01 00:00:00+00:00,0.2670947650232155,-0.000477836356975736,warmup,,,
