timestamp,raw,scale,sized,realised,regime,asset_ret,fwd,w,fwd_vol20,agent_ret,const_ret,active,yr
2017-07-29 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0,0.0088067224401064,0.0,0.045345450635433236,0.0,0.0035226889760425605,-0.0035226889760425605,2017
2017-07-30 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0088067224401064,0.0487850542769983,0.0,0.04528451850345618,0.0,0.01951402171079932,-0.01951402171079932,2017
2017-07-31 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0487850542769983,-0.0435055025062305,0.0,0.046043680866386466,-0.0,-0.017402201002492203,0.017402201002492203,2017
2017-08-01 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,-0.0435055025062305,-0.0119630094525706,0.0,0.04431746825047052,-0.0,-0.00478520378102824,0.00478520378102824,2017
2017-08-02 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,-0.0119630094525706,0.0322678617726581,0.0,0.04366796117065087,0.0,0.012907144709063241,-0.012907144709063241,2017
2017-08-03 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0322678617726581,0.02523125058306,0.0,0.0436433931981506,0.0,0.010092500233224,-0.010092500233224,2017
2017-08-04 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.02523125058306,0.1351431751209164,0.0,0.04386019966591519,0.0,0.05405727004836656,-0.05405727004836656,2017
2017-08-05 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.1351431751209164,-0.0065577510644397,0.0,0.03480526921465401,-0.0,-0.00262310042577588,0.00262310042577588,2017
2017-08-06 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,-0.0065577510644397,0.0546238307750557,0.0,0.034712804009932666,0.0,0.02184953231002228,-0.02184953231002228,2017
2017-08-07 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0546238307750557,0.0071213543521184,0.0,0.03363401319867896,0.0,0.0028485417408473605,-0.0028485417408473605,2017
2017-08-08 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0071213543521184,-0.0232670938485227,0.0,0.03361291174285373,-0.0,-0.00930683753940908,0.00930683753940908,2017
2017-08-09 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,-0.0232670938485227,0.030567189182721,0.0,0.0333828521484293,0.0,0.012226875673088401,-0.012226875673088401,2017
2017-08-10 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.030567189182721,0.0612978885218491,0.0,0.03350755984387689,0.0,0.02451915540873964,-0.02451915540873964,2017
2017-08-11 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0612978885218491,0.0595845356454194,0.0,0.03208824737795144,0.0,0.02383381425816776,-0.02383381425816776,2017
2017-08-12 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0595845356454194,0.0481337119256581,0.0,0.031034766391607276,0.0,0.019253484770263243,-0.019253484770263243,2017
2017-08-13 00:00:00+00:00,0.0,1.0350007420157392,0.0,0.0,warmup,0.0481337119256581,0.0640640122941433,0.0,0.03386446737816667,0.0,0.02562560491765732,-0.02562560491765732,2017
2017-08-14 00:00:00+00:00,0.0,1.04492501981825,0.0,0.0,warmup,0.0640640122941433,-0.0371869647734111,0.0,0.03119442396742847,-0.0,-0.014874785909364441,0.014874785909364441,2017
2017-08-15 00:00:00+00:00,0.0,0.9975634948005344,0.0,0.0,warmup,-0.0371869647734111,0.0505008497739143,0.0,0.030599483712235094,0.0,0.020200339909565723,-0.020200339909565723,2017
2017-08-16 00:00:00+00:00,0.0,1.0174049160638494,0.0,0.0,warmup,0.0505008497739143,-0.0205949185470971,0.0,0.02884586898009169,-0.0,-0.008237967418838841,0.008237967418838841,2017
2017-08-17 00:00:00+00:00,0.0,1.010387304083112,0.0,0.0,warmup,-0.0205949185470971,-0.0416564447279328,0.0,0.02971158944346951,-0.0,-0.01666257789117312,0.01666257789117312,2017
