dimension,regime,bars,share_of_sample,total_return,annualised,sharpe,worst_bar,hit_rate,benchmark_return,excess
trend,bear,1020,0.30603060306030605,-0.34616487481891955,-0.14105258123473308,-0.5529424042336605,-0.10678512529801631,0.32254901960784316,-0.8051419402997528,0.4589770654808333
trend,bull,1720,0.5160516051605161,19.675629264595518,0.9017463029666009,1.6473079971424944,-0.09897407005200598,0.4982558139534884,24.258446466881846,-4.5828172022863285
trend,sideways,393,0.11791179117911792,0.09291802447918096,0.08602130598508073,0.40782579223068105,-0.12139682136939911,0.46564885496183206,0.8396243878226113,-0.7467063633434303
volatility,high_vol,698,0.20942094209420942,0.8620748933486941,0.38416421934202893,0.9742390542861337,-0.0972135612891305,0.4383954154727794,0.6127353919037171,0.24933950144497707
volatility,low_vol,966,0.28982898289828984,0.650155627869802,0.20834538368518585,0.7292636100546032,-0.10678512529801631,0.42028985507246375,0.1901266694975241,0.46002895837227786
volatility,normal_vol,1580,0.474047404740474,5.8077864639168295,0.5575245938942208,1.2850958119827436,-0.12139682136939911,0.4525316455696203,6.00210059055264,-0.1943141266358106
event,benchmark_drawdown_over_20pct,2402,0.7206720672067207,-0.10579273047062898,,0.11656179416063017,-0.12139682136939911,0.40341382181515406,,
