timestamp,raw,scale,sized,realised,regime,asset_ret
2017-07-29 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.0
2017-07-30 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.008806722440106496
2017-07-31 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.04878505427699831
2017-08-01 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,-0.04350550250623053
2017-08-02 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,-0.011963009452570672
2017-08-03 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.03226786177265817
2017-08-04 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.025231250583060083
2017-08-05 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.13514317512091645
2017-08-06 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,-0.006557751064439787
2017-08-07 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.054623830775055726
2017-08-08 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.00712135435211847
2017-08-09 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,-0.02326709384852277
2017-08-10 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.030567189182721055
2017-08-11 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.06129788852184914
2017-08-12 00:00:00+00:00,0.0,0.0,0.0,0.0,warmup,0.059584535645419434
2017-08-13 00:00:00+00:00,0.0,1.0350007420157392,0.0,0.0,warmup,0.048133711925658185
2017-08-14 00:00:00+00:00,0.0,1.04492501981825,0.0,0.0,warmup,0.06406401229414338
2017-08-15 00:00:00+00:00,0.0,0.9975634948005344,0.0,0.0,warmup,-0.0371869647734111
2017-08-16 00:00:00+00:00,0.0,1.0174049160638494,0.0,0.0,warmup,0.050500849773914336
2017-08-17 00:00:00+00:00,0.0,1.010387304083112,0.0,0.0,warmup,-0.020594918547097163
2017-08-18 00:00:00+00:00,0.0,0.9752402246680704,0.0,0.0,warmup,-0.04165644472793284
2017-08-19 00:00:00+00:00,0.0,0.9986144440251425,0.0,0.0,warmup,0.0135772310152813
2017-08-20 00:00:00+00:00,0.0,0.9947129439937261,0.0,0.0,warmup,-0.025597667778737287
2017-08-21 00:00:00+00:00,0.0,1.0055800434162505,0.0,0.0,warmup,-0.012093340146482667
2017-08-22 00:00:00+00:00,0.0,1.0268829522044371,0.0,0.0,warmup,0.022488755622188883
2017-08-23 00:00:00+00:00,0.0,1.0477657172504566,0.0,0.0,warmup,0.012583088954056576
2017-08-24 00:00:00+00:00,0.0,1.0619231809537282,0.0,0.0,warmup,0.04067585537795426
2017-08-25 00:00:00+00:00,0.0,1.0815319354026904,0.0,0.0,warmup,0.011124690690927475
2017-08-26 00:00:00+00:00,0.0,1.0954466551304294,0.0,0.0,warmup,-0.0035963302752294313
2017-08-27 00:00:00+00:00,0.0,1.1106207084336492,0.0,0.0,warmup,-0.0009690814672952408
2017-08-28 00:00:00+00:00,0.0,1.12911829539297,0.0,0.0,warmup,0.01034075173209903
2017-08-29 00:00:00+00:00,0.0,1.1171799715873718,0.0,0.0,warmup,0.04880512840394169
2017-08-30 00:00:00+00:00,0.0,1.124546468748886,0.0,0.0,warmup,-0.0037008045227224784
2017-08-31 00:00:00+00:00,0.0,1.1746966761501592,0.0,0.0,warmup,0.03534716432633922
2017-09-01 00:00:00+00:00,0.0,1.1818541888816485,0.0,0.0,warmup,0.043012769976011445
2017-09-02 00:00:00+00:00,0.0,1.0933073899890695,0.0,0.0,warmup,-0.06022647580128493
2017-09-03 00:00:00+00:00,0.0,1.0883467870107666,0.0,0.0,warmup,-0.005148398168598134
2017-09-04 00:00:00+00:00,0.0,1.256859365868974,0.0,0.0,warmup,-0.027626160547335243
2017-09-05 00:00:00+00:00,0.0,1.2503281832602755,0.0,0.0,warmup,-0.014614572333685238
2017-09-06 00:00:00+00:00,0.0,1.2677382776592947,0.0,0.0,warmup,0.04143701875461092
2017-09-07 00:00:00+00:00,0.0,1.2665540642616295,0.0,0.0,warmup,0.001733034673691236
2017-09-08 00:00:00+00:00,0.0,1.1975351481762,0.0,0.0,warmup,-0.059292674593117156
2017-09-09 00:00:00+00:00,0.0,1.2031173121165009,0.0,0.0,warmup,-0.0035954022988506917
2017-09-10 00:00:00+00:00,0.0,1.2406544083682254,0.0,0.0,warmup,-0.019149309240579893
2017-09-11 00:00:00+00:00,0.0,1.2934043904791268,0.0,0.0,warmup,-0.009559293967106863
2017-09-12 00:00:00+00:00,0.0,1.3338523194885141,0.0,0.0,warmup,-0.010971995288216685
2017-09-13 00:00:00+00:00,0.0,1.2974070926108903,0.0,0.0,warmup,-0.0742462516688599
2017-09-14 00:00:00+00:00,0.0,0.9577317569254481,0.0,0.0,warmup,-0.1569052633763216
2017-09-15 00:00:00+00:00,0.0,0.8328824364907864,0.0,0.0,warmup,0.1506337681516121
2017-09-16 00:00:00+00:00,0.0,0.8342664827961509,0.0,0.0,warmup,-0.003612280148234448
2017-09-17 00:00:00+00:00,0.0,0.8425920541302921,0.0,0.0,warmup,-0.0017549932778928579
2017-09-18 00:00:00+00:00,0.0,0.7928356648666498,0.0,0.0,warmup,0.10215942601687655
2017-09-19 00:00:00+00:00,0.0,0.7856348234189129,0.0,0.0,warmup,-0.046314634146341405
2017-09-20 00:00:00+00:00,0.0,0.7858513886438231,0.0,0.0,warmup,-0.009731184033185847
2017-09-21 00:00:00+00:00,0.0,0.7694892863421421,0.0,0.0,warmup,-0.06575053072524706
2017-09-22 00:00:00+00:00,0.0,0.7706190920317966,0.0,0.0,warmup,0.00042571189256590536
2017-09-23 00:00:00+00:00,0.0,0.7683393032376389,0.0,0.0,warmup,0.046509957142975455
2017-09-24 00:00:00+00:00,0.0,0.7663906932039234,0.0,0.0,warmup,-0.031241006196977783
2017-09-25 00:00:00+00:00,0.0,0.7458611273590005,0.0,0.0,warmup,0.06834813750848312
2017-09-26 00:00:00+00:00,0.0,0.7457755763481179,0.0,0.0,warmup,-0.00884998647883306
2017-09-27 00:00:00+00:00,0.0,0.7220573216524573,0.0,0.0,warmup,0.08105603731187694
2017-09-28 00:00:00+00:00,0.0,0.7311445776613313,0.0,0.0,warmup,-0.002519047619047643
2017-09-29 00:00:00+00:00,0.0,0.7310672261421298,0.0,0.0,warmup,-0.007740928338529018
2017-09-30 00:00:00+00:00,0.0,0.7285541198252259,0.0,0.0,warmup,0.04378408415704649
2017-10-01 00:00:00+00:00,0.0,0.7353124983633075,0.0,0.0,warmup,0.012862410693708304
2017-10-02 00:00:00+00:00,0.0,0.7488976677605778,0.0,0.0,warmup,-0.000477836356975736
2017-10-03 00:00:00+00:00,0.0,0.7477366521010559,0.0,0.0,warmup,-0.019286499677875435
2017-10-04 00:00:00+00:00,0.0,0.7488478946416894,0.0,0.0,warmup,-0.021622612865860757
2017-10-05 00:00:00+00:00,0.0,0.7468197901688725,0.0,0.0,warmup,0.024959429064922878
2017-10-06 00:00:00+00:00,0.0,0.7533771356272824,0.0,0.0,warmup,0.009942037573726026
2017-10-07 00:00:00+00:00,0.0,0.7524131966712796,0.0,0.0,warmup,0.014212730260669826
2017-10-08 00:00:00+00:00,0.0,0.7615432936208372,0.0,0.0,warmup,0.04033672316384185
2017-10-09 00:00:00+00:00,0.0,0.7571954908639039,0.0,0.0,warmup,0.03607263185105225
2017-10-10 00:00:00+00:00,0.0,0.7591084865771875,0.0,0.0,warmup,-0.004098919185248073
2017-10-11 00:00:00+00:00,0.0,0.7595122001661397,0.0,0.0,warmup,0.01368210526315794
2017-10-12 00:00:00+00:00,0.0,0.7105733252151057,0.0,0.0,warmup,0.12980504632408385
2017-10-13 00:00:00+00:00,0.0,0.7365244473146141,0.0,0.0,warmup,0.033970588235294086
2017-10-14 00:00:00+00:00,0.0,0.9178272891798224,0.0,0.0,warmup,0.03454878395676286
2017-10-15 00:00:00+00:00,0.0,1.039850000135263,0.0,0.0,warmup,-0.021554768496321652
2017-10-16 00:00:00+00:00,0.0,1.0431418950303675,0.0,0.0,warmup,0.010748722271984867
2017-10-17 00:00:00+00:00,0.0,1.0268295696493595,0.0,0.0,warmup,-0.027958782950181504
2017-10-18 00:00:00+00:00,0.0,1.108065896065416,0.0,0.0,warmup,-0.0034966035037541365
2017-10-19 00:00:00+00:00,0.0,1.153781767140445,0.0,0.0,warmup,0.023243590387554747
2017-10-20 00:00:00+00:00,0.0,1.1437692269812003,0.0,0.0,warmup,0.049980627663696264
2017-10-21 00:00:00+00:00,0.0,1.2570995261926856,0.0,0.0,warmup,0.0059708470387869195
2017-10-22 00:00:00+00:00,0.0,1.2545264636922244,0.0,0.0,warmup,-0.0032880432076428656
2017-10-23 00:00:00+00:00,0.0,1.2512032003436793,0.0,0.0,warmup,-0.016496115769227604
2017-10-24 00:00:00+00:00,0.0,1.176211151526281,0.0,0.0,warmup,-0.06443627571330113
2017-10-25 00:00:00+00:00,0.0,1.2114743772997685,0.0,0.0,warmup,0.03882774734274075
2017-10-26 00:00:00+00:00,0.0,1.2170720542574953,0.0,0.0,warmup,0.02641825654141039
2017-10-27 00:00:00+00:00,0.0,1.2784553713630067,0.0,0.0,warmup,-0.018943888003448928
2017-10-28 00:00:00+00:00,0.0,1.277133296764384,0.0,0.0,warmup,-0.004842560553633191
2017-10-29 00:00:00+00:00,0.0,1.2307058260553718,0.0,0.0,warmup,0.06745468105931662
2017-10-30 00:00:00+00:00,0.0,1.2436102206369746,0.0,0.0,warmup,-0.00258142902047398
2017-10-31 00:00:00+00:00,0.0,1.2167905744017407,0.0,0.0,warmup,0.052390858501410786
2017-11-01 00:00:00+00:00,0.0,1.1965167783317006,0.0,0.0,warmup,0.05254918145976495
2017-11-02 00:00:00+00:00,0.0,1.208906657618594,0.0,0.0,warmup,0.037780323098490554
2017-11-03 00:00:00+00:00,0.0,1.235121008305048,0.0,0.0,warmup,0.018470222926769697
2017-11-04 00:00:00+00:00,0.0,1.2317080295381708,0.0,0.0,warmup,0.03382701000417021
2017-11-05 00:00:00+00:00,0.0,1.225354454850356,0.0,0.0,warmup,-0.0027723253131514136
