symbol,score,verdict,ac_1m,ac_3m,ac_6m,ac_12m,sideways_share,bear_share,bull_share,ann_vol,ac_1m_positive,ac_3m_positive,sideways_low,bear_present
BTC-USD,4,candidate - matches the structure the strategy was built on,0.07521297022818577,0.14738367338784836,0.07905135192432947,-0.07858945532813386,0.09673459366560275,0.25042965872821016,0.6037318929535969,0.6707720422125496,True,True,True,True
ETH-USD,4,candidate - matches the structure the strategy was built on,0.17708009181112877,0.30070916659828695,0.008550426325054025,0.0332074302264621,0.09925492283129324,0.31426290580095795,0.5332623736029803,0.9306892606318462,True,True,True,True
SPY,0,unsuitable - the structural precondition is absent,-0.15585286035157844,-0.22375338055412505,-0.03642561554252245,-0.39219481226986164,0.3187425387982491,0.05769996020692399,0.5439713489852765,0.1805152769883333,False,False,False,False
QQQ,0,unsuitable - the structural precondition is absent,-0.09890013953811183,-0.14570191564545223,0.047895726563749234,-0.33010536912786376,0.1647433346597692,0.08197373656983685,0.6736967767608436,0.22575911209581265,False,False,False,False
DIA,0,unsuitable - the structural precondition is absent,-0.17727908691409786,-0.27317527895215715,-0.1371640037761227,-0.49374264316947103,0.42618384401114207,0.04297652208515718,0.45125348189415043,0.17639368904626238,False,False,False,False
IWM,0,unsuitable - the structural precondition is absent,-0.08402104196835879,-0.16716219890457368,-0.0296793830163397,-0.4242607550352619,0.43533625149224037,0.12574612017508954,0.3593314763231198,0.23134834207534025,False,False,False,False
