asset,share_bars_20pct_underwater,fwd60_when_deep,fwd60_unconditional,recovery_premium
BTC-USD,0.6246010311809477,0.0559130311506398,0.08399469672493963,-0.02808166557429983
ETH-USD,0.856306546035125,0.06442641981684928,0.08262227297377132,-0.018195853156922043
SPY,0.030242737763629127,0.08782207741443254,0.0306581916974605,0.05716388571697204
