asset,ann_vol,vol_clustering_ac1_absret,vol_persistence_ac21_of_vol,vol_of_vol,large_move_freq_gt3sd
BTC-USD,0.6707720422125496,0.20568051268057164,0.5933406794713508,0.4662099506132087,0.01767738767493248
ETH-USD,0.9306892606318462,0.23118626970838532,0.5889794247206529,0.44236445534199775,0.018893028206492815
SPY,0.1805152769883333,0.360332282969928,0.6224991149377073,0.64985043199595,0.013131715081575806
QQQ,0.22575911209581265,0.2672295465997812,0.634697526472884,0.5224775914122961,0.013131715081575806
DIA,0.17639368904626238,0.40280466528510134,0.6215726116624963,0.7007099531772956,0.013131715081575806
IWM,0.23134834207534025,0.25765320530678504,0.6579676283036198,0.49260227224659403,0.010346199761241544
