asset,ac_1m,P(+|+)_1m,P(-|-)_1m,ac_3m,P(+|+)_3m,P(-|-)_3m,ac_6m,P(+|+)_6m,P(-|-)_6m,ac_12m,P(+|+)_12m,P(-|-)_12m
BTC-USD,0.07521297022818577,0.5814781834372217,0.46218487394957986,0.14738367338784836,0.6289631533847472,0.46559206447613144,0.07905135192432947,0.6598582742809503,0.5028129395218003,-0.07858945532813386,0.6919210053859964,0.22704081632653061
ETH-USD,0.17708009181112877,0.5671563483735572,0.5337016574585636,0.30070916659828695,0.5751115518096183,0.460061919504644,0.008550426325054025,0.550259067357513,0.4365482233502538,0.0332074302264621,0.5849220103986135,0.20930232558139536
SPY,-0.15585286035157844,0.6926229508196722,0.29750982961992134,-0.22375338055412505,0.7711306256860593,0.26194690265486725,-0.03642561554252245,0.7753950338600452,0.21063394683026584,-0.39219481226986164,0.7933734939759036,0.017191977077363897
QQQ,-0.09890013953811183,0.6874625074985004,0.3407960199004975,-0.14570191564545223,0.7569060773480663,0.2582322357019064,0.047895726563749234,0.8454446854663774,0.3501199040767386,-0.33010536912786376,0.8276670574443142,0.0297029702970297
DIA,-0.17727908691409786,0.6580528846153846,0.29120198265179675,-0.27317527895215715,0.7088607594936709,0.22033898305084745,-0.1371640037761227,0.7384973791496797,0.18933823529411764,-0.49374264316947103,0.755431409062694,0.010050251256281407
IWM,-0.08402104196835879,0.55359565807327,0.33099297893681046,-0.16716219890457368,0.5916055962691539,0.309255079006772,-0.0296793830163397,0.6310611384399156,0.35918854415274465,-0.4242607550352619,0.574313408723748,0.31906614785992216
