asset,n_drawdowns,median_dd_len,p90_dd_len,max_dd_len,median_depth,worst_depth,share_time_underwater
BTC-USD,80,3.0,93.50000000000021,1079,-0.08289487224599401,-0.838015349610509,0.9521237417137245
ETH-USD,39,3.0,186.20000000000027,1382,-0.10205173675718493,-0.940116304238034,0.9739222990952634
SPY,175,3.0,25.399999999999977,512,-0.011903574397339911,-0.34104746704498434,0.8599283724631914
QQQ,152,3.0,35.80000000000001,519,-0.018154311649016597,-0.35617218247976434,0.8547552725825707
DIA,134,3.5,27.0,487,-0.010231649134908372,-0.37058704179629387,0.8810187027457222
IWM,66,3.5,41.5,967,-0.022886161456085297,-0.42261010287827994,0.9450855551134103
