asset,regime,bars,total_return,benchmark_return,excess,sharpe
BTC-USD,bear,1020,-0.17863537714860434,-0.8051419402997523,0.6265065631511479,-0.029662618086461614
BTC-USD,bull,2459,1192.3784654723036,558.4225733816331,633.9558920906704,1.9434687514458544
BTC-USD,sideways,394,0.1992011000965026,0.8239602920223854,-0.6247591919258828,0.5837470145432161
ETH-USD,bear,1181,-0.3597188677836278,-0.9020518801298026,0.5423330123461748,-0.2801388885806284
ETH-USD,bull,2004,335.25877762891344,2085.4575634173802,-1750.198785788467,1.9310701283724794
ETH-USD,sideways,373,0.12400112578731481,0.5653988455677501,-0.4413977197804353,0.49239406244439676
SPY,bear,145,-0.159259053620027,-0.40104784191583054,0.24178878829580353,-1.4824403839432199
SPY,bull,1367,6.034982936833856,2.5333403384112265,3.5016425984226296,1.6676473955449922
SPY,sideways,801,-0.6940969735354485,0.4896740754918354,-1.183771049027284,-0.9110977019219093
