ablation,asset,final_equity,cagr,sharpe,sortino,max_drawdown,exposure,n_trades
control,BTC-USD,126199.94275439951,0.8965671334981438,1.41219647979821,1.8266118638274327,-0.5731394034239631,0.7861862971914436,611.0
control,ETH-USD,22497.432273680708,0.6924442846252195,1.2194460772044151,1.5487015904924504,-0.6354027506373925,0.5260793191509847,570.0
control,SPY,186.28285915291445,0.06439624024651525,0.36971996805530555,0.4104941964716201,-0.5142865057067417,1.6198671574698111,77.0
- trend floor,BTC-USD,53214.632430121565,0.7553026110622845,1.3389498088255567,1.4690923699783998,-0.5344893791977401,0.578130170608828,749.0
- trend floor,ETH-USD,22770.369410779862,0.6944282265677988,1.273810045827178,1.398313343651648,-0.5172310641995315,0.386259083375902,634.0
- trend floor,SPY,200.88976046304975,0.0724875601276238,0.43429142850540636,0.45101236081674073,-0.47314162087635414,1.3613774703688404,232.0
- volatility targeting,BTC-USD,16281.045001808228,0.578510778859086,1.2890249836796162,1.5945017163080928,-0.5660921288814421,0.5031573629455005,383.0
- volatility targeting,ETH-USD,16489.8700140114,0.6421281680397337,1.1519246547563473,1.3873892144117728,-0.7163539877955856,0.4605874675257332,374.0
- volatility targeting,SPY,165.26745000837963,0.05169114925290352,0.5919890161571202,0.6526637341859274,-0.2068160782109726,0.585326841952878,364.0
- drawdown kill switch,BTC-USD,160724.7736886813,0.9381267618695031,1.445891199608235,1.892199426183665,-0.574281151796824,0.7985114585902939,620.0
- drawdown kill switch,ETH-USD,28388.546328544446,0.7311221845765996,1.2529890434685522,1.617862675760124,-0.5433376674789849,0.5406817592434098,578.0
- drawdown kill switch,SPY,177.79610020315454,0.059428900831735465,0.351511250835038,0.3911055049285647,-0.5424969540085077,1.6277040721890508,81.0
+ adaptive blending,BTC-USD,139608.04438917967,0.9138103450411488,1.4027967322821717,1.8004850230810023,-0.6023212873717809,0.8140549826800882,651.0
+ adaptive blending,ETH-USD,29062.14366875897,0.7350706580017567,1.239132483082853,1.5993798592514734,-0.6306931300056912,0.5386349047442786,589.0
+ adaptive blending,SPY,196.0380910508843,0.06986048814159296,0.38903364108188665,0.4364439655189651,-0.5018087136825742,1.626283961253456,79.0
+ signal smoothing (5),BTC-USD,57774.36019373896,0.768285513189858,1.2918254773147695,1.6220766488704292,-0.6150624452673217,0.7752499613775311,624.0
+ signal smoothing (5),ETH-USD,23774.4931364948,0.7015468889664058,1.2330621679743774,1.5728196284458835,-0.6401392535689675,0.5209944766257398,532.0
+ signal smoothing (5),SPY,217.1176744997189,0.08087816987550722,0.42997327190753193,0.47534452545242784,-0.45985611359174206,1.6067284128399772,82.0
+ regime filter,BTC-USD,68555.99188098006,0.7956153318443826,1.3476467143589572,1.6488925994309562,-0.5667396614916169,0.7355005985355954,515.0
+ regime filter,ETH-USD,18831.76964779663,0.6634516594405,1.215326506676785,1.4841011175360752,-0.6150933982683087,0.4927247195829806,466.0
+ regime filter,SPY,200.55665283322654,0.07230902482168888,0.40066541819981666,0.43126637768792275,-0.4570330673736709,1.546016004767462,75.0
+ ATR stop,BTC-USD,35921.07157408499,0.6945433130359906,1.2141786676358985,1.4466841180113414,-0.5475938677334018,0.7543738555627653,623.0
+ ATR stop,ETH-USD,8111.543191083357,0.5327565802049552,1.0353988276792856,1.2050793547289256,-0.7112993463544479,0.5105507913322109,604.0
+ ATR stop,SPY,177.5689883425203,0.059293063235313914,0.3560107321686999,0.40154631942649033,-0.5243747510828793,1.558130160686421,114.0
full 6-model ensemble,BTC-USD,97739.06884564535,0.8536143129364266,1.437161766870064,1.847182265755943,-0.5784343679468722,0.7460560694951703,640.0
full 6-model ensemble,ETH-USD,19961.771666791876,0.6728958437943282,1.2332172484068025,1.573833062263137,-0.5322616146326675,0.499612724679255,594.0
full 6-model ensemble,SPY,184.52423987248895,0.0633838809706091,0.3679840331033325,0.4086167141783592,-0.5085202695249988,1.594272722912809,110.0
- floor AND - vol target,BTC-USD,9169.563529056191,0.4993331693746135,1.2268562641003729,1.2797359258160355,-0.543120686271017,0.37527163615768994,627.0
- floor AND - vol target,ETH-USD,15286.493058965907,0.6300834583575798,1.170303884100249,1.203306963334447,-0.6002079289257103,0.3513405828371638,500.0
- floor AND - vol target,SPY,162.82544114453145,0.05012175046232081,0.647771055030892,0.6557041463173011,-0.1849176941789228,0.5056635087220955,517.0
