,ac_3m,ac_1m,sideways_share,bear_share,median_dd_depth,ann_vol,sharpe_edge_vs_matched,equity_edge
BTC-USD,0.1473836733878483,0.0752129702281857,0.0967345936656027,0.2504296587282101,-0.082894872245994,0.6707720422125496,0.303121204473481,7.380905983175779
ETH-USD,0.3007091665982869,0.1770800918111287,0.0992549228312932,0.3142629058009579,-0.1020517367571849,0.9306892606318462,0.1826105160805007,3.050959178711928
SPY,-0.223753380554125,-0.1558528603515784,0.3187425387982491,0.0576999602069239,-0.0119035743973399,0.1805152769883333,-0.2835025614482485,-0.5678859091305677
QQQ,-0.1457019156454522,-0.0989001395381118,0.1647433346597692,0.0819737365698368,-0.0181543116490165,0.2257591120958126,-0.094061015593973,-0.3310924392248993
DIA,-0.2731752789521571,-0.1772790869140978,0.426183844011142,0.0429765220851571,-0.0102316491349083,0.1763936890462623,-0.3215736712000313,-0.5875124402693497
IWM,-0.1671621989045736,-0.0840210419683587,0.4353362514922403,0.1257461201750895,-0.0228861614560852,0.2313483420753402,-0.3166833608998085,-0.6184007084391676
