asset,tier,control_final,cand_final,d_equity,control_sharpe,cand_sharpe,d_sharpe,d_sortino,d_maxDD,cand_exposure,matched_final,cand_vs_matched_eq,cand_vs_matched_sh
BTC-USD,dev,126199.94275439951,160724.7736886813,0.2735724769817949,1.41219647979821,1.445891199608235,0.03369471981002503,0.06558756235623231,-0.0011417483728609623,0.7985114585902939,16577.727042691313,8.695223794841082,0.3276473690349406
ETH-USD,unseen-crypto,22497.432273680708,28388.546328544446,0.261857174774369,1.2194460772044151,1.2529890434685522,0.03354296626413711,0.06916108526767362,0.09206508315840756,0.5406817592434098,5916.054950216815,3.7985602850940463,0.21917459993884347
SPY,unseen-eq,186.28285915291445,177.79610020315454,-0.04555845335610498,0.36971996805530555,0.351511250835038,-0.018208717220267567,-0.019388691543055392,-0.028210448301766,1.6277040721890508,430.7494894470777,-0.5872401371122258,-0.29981717145615194
QQQ,unseen-eq,581.1184416231166,537.6540892060802,-0.07479430922143249,0.7005433544331645,0.6741592580849528,-0.026384096348211705,-0.030322476484378358,-0.03155138724169415,1.5675735875512036,875.0373639670976,-0.38556442119390844,-0.12142744155866003
DIA,unseen-eq,128.22801555532584,113.1761104941013,-0.11738390394671738,0.22582205439497166,0.1768341996124044,-0.04898785478256726,-0.05596418619845722,-0.05730650591617259,1.6230639908466313,311.00405030118355,-0.6360944161836513,-0.36950723142408226
IWM,unseen-eq,83.01672235033953,73.62910192154183,-0.1130810776795178,0.0918968634793001,0.054362313320140285,-0.03753455015915981,-0.046130010229272586,-0.040433191308881344,1.3470453093339063,229.956110912543,-0.67981237102438,-0.3718082628660918
