asset,final_equity,cagr,sharpe,sortino,maxDD,trades,turnover,avg_exposure,time_in_market,exp_p10,exp_p50,exp_p90,exp_max
BTC-USD,126199.94275439951,0.8965671334981438,1.41219647979821,1.8266118638274327,-0.5731394034239631,611.0,13.396222936058631,0.7861862971914436,0.763810459121041,0.0,0.7728758637504757,1.646042981487984,2.13945346206403
ETH-USD,22497.432273680708,0.6924442846252195,1.2194460772044151,1.5487015904924504,-0.6354027506373925,570.0,12.00423190037551,0.5260793191509847,0.7115486961149547,0.0,0.5048364533304277,1.1279910977335577,2.2277391322457665
SPY,186.28285915291445,0.06439624024651525,0.36971996805530555,0.4104941964716201,-0.5142865057067417,77.0,5.105068771033937,1.6198671574698111,0.8452049343414246,0.0,1.9246909275577866,2.0212336445972814,2.352404400528444
