asset,bull,bear,sideways,warmup
BTC-USD,0.6037318929535969,0.25042965872821016,0.09673459366560275,0.04910385465259023
ETH-USD,0.5332623736029803,0.31426290580095795,0.09925492283129324,0.05321979776476849
SPY,0.5439713489852765,0.05769996020692399,0.3187425387982491,0.07958615200955034
QQQ,0.6736967767608436,0.08197373656983685,0.1647433346597692,0.07958615200955034
DIA,0.45125348189415043,0.04297652208515718,0.42618384401114207,0.07958615200955034
IWM,0.3593314763231198,0.12574612017508954,0.43533625149224037,0.07958615200955034
